,指定科類枠の効用増減,全科類枠の効用増減,全体での効用増減
法学部,-1.0682932613125464,0.6194890094163319,-0.4488042518962146
経済学部,-9.36270211870767,12.160600182219113,2.797898063511443
A群（思想文化）,-3.058706383093663,16.594348318371274,13.53564193527761
B群（歴史文化_日本史学）,0.0,8.683545889321092,8.683545889321092
C群（歴史文化_東洋史学）,0.0,15.806792101957639,15.806792101957639
D群（歴史文化_西洋史学）,0.0,38.29663531416312,38.29663531416312
E群（歴史文化_考古学）,0.0,12.948022217044775,12.948022217044775
F群（歴史文化_美術史学）,0.0,-0.019203149487275084,-0.019203149487275084
G群（言語文化）,-6.907675049964003,8.102371566965822,1.1946965170018184
H群（心理学）,0.0,0.0,0.0
I群（社会心理学）,0.0,13.861492325399212,13.861492325399212
J群（社会学）,0.0,-0.15199774552988288,-0.15199774552988288
基礎教育学,0.0,9.387665311189595,9.387665311189595
比較教育社会学,0.0,-0.3803430996368604,-0.3803430996368604
教育実践・政策学,0.0,0.0,0.0
教育心理学,0.0,0.0,0.0
身体教育学,0.0,-1.345137937951074,-1.345137937951074
薬学部,-18.139933882206723,0.0,-18.139933882206723
医学,0.0,0.0,0.0
健康総合科学,-9.39065731727316,0.0,-9.39065731727316
超域文化科学,0.0,0.0,0.0
地域文化研究,-18.137204862982262,25.86657268284621,7.729367819863952
総合社会科学,0.0,0.0,0.0
数理自然科学,0.0,0.0,0.0
物質基礎科学,0.0,0.0,0.0
統合生命科学,-9.745063779021393,-8.419527669198368,-18.16459144821976
認知行動科学,0.0,0.0,0.0
Ａ 群,0.0,0.0,0.0
Ｂ 群,0.0,0.0,0.0
教養学科国際日本研究コース,0.0,0.0,0.0
学際科学科国際環境学コース,0.0,-16.23135956358111,-16.23135956358111
生命化学・工学,-13.847961308290168,0.0,-13.847961308290168
応用生物学,-22.891300232370202,0.0,-22.891300232370202
森林生物科学,-27.22332932279769,0.0,-27.22332932279769
水圏生物科学,-0.7397344909799415,0.0,-0.7397344909799415
動物生命システム科学,0.0,0.0,0.0
生物素材化学,-1.0440632929738836,0.0,-1.0440632929738836
緑地環境学,-0.7511635206902554,0.0,-0.7511635206902554
森林環境資源科学,0.0,-0.907868820742389,-0.907868820742389
木質構造科学,0.0,0.0,0.0
生物・環境工学,-18.21444857905058,0.0,-18.21444857905058
農業・資源経済学,-0.14327776196489594,5.867968923918658,5.724691161953762
フィールド科学,0.0,0.0,0.0
国際開発農学,0.0,-0.23506194694937932,-0.23506194694937932
獣医学課程獣医学,-8.589854800747013,0.0,-8.589854800747013
社会基盤学Ａ（設計・技術戦略）,0.0,0.0,0.0
社会基盤学Ｂ（政策・計画）社会基盤学Ｃ,0.0,0.0,0.0
社会基盤学Ｃ（国際プロジェクト）,0.0,0.0,0.0
建築学,-0.02399657409268109,-0.1875697859019216,-0.21156635999460272
都市環境工学（環境共生・国際公共衛生・水・環境ﾊﾞｲｵ）,0.0,0.0,0.0
都市計画（都市と地域の分析・計画・ﾃﾞｻﾞｲﾝ）,0.0,0.0,0.0
機械工学A（ﾃﾞｻﾞｲﾝ・ｴﾈﾙｷﾞｰ・ﾀﾞｲﾅﾐｸｽ）,-0.16963552529414888,0.0,-0.16963552529414888
機械工学B,0.0,0.0,0.0
航空宇宙学,0.0,0.0,0.0
精密工学,0.0,0.0,0.0
電子情報工学,-0.7655428927154967,-0.5000191160795188,-1.2655620087950155
電気電子工学,-0.5691957638485027,0.0,-0.5691957638485027
応用物理・物理工学,0.0,0.0,0.0
計数工学・数理/ｼｽﾃﾑ情報,0.0,-0.12173440318941939,-0.12173440318941939
マテリアル工学A,-4.957095270135378,4.6507160342984815,-0.3063792358368967
マテリアル工学B,-5.143753650433478,0.0,-5.143753650433478
マテリアル工学C (ﾅﾉ・機能ﾏﾃﾘｱﾙ）,-0.11957377247770434,0.0,-0.11957377247770434
応用化学,-20.01953349538343,0.0,-20.01953349538343
化学システム工学,-9.651523875607097,54.89367847491035,45.24215459930325
化学生命工学,-3.185635910103849,41.642454750380395,38.45681884027654
システム創成A,-11.85946902806877,0.0,-11.85946902806877
システム創成B,0.0,0.0,0.0
システム創成C,0.0,0.0,0.0
数学,0.0,-0.4747496568378875,-0.4747496568378875
情報科学,0.0,-0.09229616234767946,-0.09229616234767946
物理学,0.0,-0.29768939912700954,-0.29768939912700954
天文学,0.0,0.0,0.0
地球惑星物理学,0.0,-0.380400221039406,-0.380400221039406
地球惑星環境学,0.0,0.0,0.0
化学,-0.542540649676539,0.0,-0.542540649676539
生物化学,-0.09367626167709393,0.0,-0.09367626167709393
生物情報科学,-1.66286125630088,0.0,-1.66286125630088
生物学,0.0,0.0,0.0
